Date,log_returns_zscore
2000-01-03,0.0
2000-01-04,-0.7071067811865476
2000-01-05,0.5179646416216788
2000-01-06,1.0585872099335465
2000-01-07,0.8020851891859759
2000-01-10,-1.090556991389847
2000-01-11,0.5815004354197977
2000-01-12,-0.3556819556838669
2000-01-13,0.8849080588206487
2000-01-14,-1.1167785055836732
2000-01-18,-0.026242286112042032
2000-01-19,-1.6515312618542382
2000-01-20,-1.2032333193964202
2000-01-21,1.3737862362592295
2000-01-24,-1.6415172948229069
2000-01-25,-0.5265609556880231
2000-01-26,1.0650971651818653
2000-01-27,-0.06262866690829105
2000-01-28,-0.9003217693851226
2000-01-31,2.3054995946771775
2000-02-01,-1.7122527151328186
2000-02-02,-0.32149481058020335
2000-02-03,0.87710187128271
2000-02-04,-0.8942774383251144
2000-02-07,-0.06439389804230461
2000-02-08,0.993966932199675
2000-02-09,-0.45957223925080914
2000-02-10,-1.2757687386811354
2000-02-11,-0.22625094578239752
2000-02-14,0.5655944148368358
2000-02-15,2.0929076798033157
2000-02-16,0.30173478833557765
2000-02-17,2.254058734931793
2000-02-18,0.08094988376770966
2000-02-22,0.5243008798717783
2000-02-23,-0.5167795199879897
2000-02-24,-0.9927644305979562
2000-02-25,0.23863220433301516
2000-02-28,0.784009091479944
2000-02-29,0.35385504493119696
2000-03-01,0.8232595764828569
2000-03-02,-0.22325267947660138
2000-03-03,0.6826872874340886
2000-03-06,0.18345794182783273
2000-03-07,-1.4452317895166917
2000-03-08,2.941798831696493
2000-03-09,0.0061846210287969
2000-03-10,-1.108323576304147
2000-03-13,-0.49196180155001756
2000-03-14,-0.10115477495092398
2000-03-15,1.8543471976667254
2000-03-16,3.507063624046141
2000-03-17,-1.5770442161573732
2000-03-20,1.5298840712660715
2000-03-21,-1.7724596445997032
2000-03-22,-1.2600339277524422
2000-03-23,0.4006491159243896
2000-03-24,0.44292910140151637
2000-03-27,-0.9950151197207864
2000-03-28,-0.05969575010866964
2000-03-29,0.8879016338832699
2000-03-30,1.047878302393402
2000-03-31,-0.2324256628026274
2000-04-03,0.022857404430868956
2000-04-04,0.9788594941235704
2000-04-05,-0.1625123708909744
2000-04-06,-0.9192993299783874
2000-04-07,-1.645748566039783
2000-04-10,0.8673585579502132
2000-04-11,-0.2972461613542333
2000-04-12,0.9080833321138779
2000-04-13,1.276165709739612
2000-04-14,-1.3445455751723454
2000-04-17,0.7148139820479213
2000-04-18,-1.32356648907609
2000-04-19,-0.19186586593797558
2000-04-20,0.08995121473472734
2000-04-24,0.1460982955238984
2000-04-25,0.8702689950038012
2000-04-26,-1.3315628813754508
2000-04-27,-0.6140904250073353
2000-04-28,-0.5677032772482798
2000-05-01,0.17079519305978474
2000-05-02,0.5385293411533033
2000-05-03,2.8081896308878123
2000-05-04,-0.791557737034975
2000-05-05,-0.09134255225413263
2000-05-08,1.0459026427619942
2000-05-09,-0.31257472600911007
2000-05-10,-0.20643993880501357
2000-05-11,0.5066237667268468
2000-05-12,-0.045217777268980526
2000-05-15,0.7151098054452241
2000-05-16,0.5363164718055489
2000-05-17,-0.9709244300777088
2000-05-18,-0.6076874918057642
2000-05-19,-0.21703821878298463
2000-05-22,0.30115583298290893
2000-05-23,0.06852051756844396
2000-05-24,2.7505637059367585
2000-05-25,-0.4683716809122117
2000-05-26,0.6013560991752446
2000-05-30,0.08763006053013107
2000-05-31,-0.5772096337300516
2000-06-01,-0.6947610357602881
2000-06-02,-0.11248401136553013
2000-06-05,1.055527626188149
2000-06-06,-1.2871850718043565
2000-06-07,1.771764168775159
2000-06-08,-0.015349307432241612
2000-06-09,-0.37527446846182155
2000-06-12,-0.3800359694935466
2000-06-13,0.46341189872036215
2000-06-14,0.1954898654578525
2000-06-15,-0.22561047899797246
2000-06-16,-0.2808704238284072
2000-06-19,-0.5573499746117394
2000-06-20,0.4854388168003897
2000-06-21,-0.45284522991103165
2000-06-22,-0.23372456117246715
2000-06-23,0.49788832849284076
2000-06-26,0.5426389929933922
2000-06-27,-0.23576315001578046
2000-06-28,-0.097098771357173
2000-06-29,-0.7835403015678009
2000-06-30,-0.008119787937152942
2000-07-03,0.0503589867159714
2000-07-05,-0.09234284762369488
2000-07-06,0.17034317461541895
2000-07-07,-0.6141281665860198
2000-07-10,-0.12979538265193924
2000-07-11,-0.2555794792065047
2000-07-12,-0.13118644445307995
2000-07-13,0.43796744092342677
2000-07-14,0.05628359896705699
2000-07-17,-0.5819115213891508
2000-07-18,0.3822611391988804
2000-07-19,0.69182906848122
2000-07-20,0.11583576107235712
2000-07-21,-0.6484304283730132
2000-07-24,0.6959051702945774
2000-07-25,0.4299070270673315
2000-07-26,-1.5507494941495579
2000-07-27,-0.6075390639393883
2000-07-28,0.1320538111298539
2000-07-31,0.131453827689618
2000-08-01,0.06299067396610378
2000-08-02,0.26645236252775933
2000-08-03,0.061172361593841804
2000-08-04,0.06096872024948066
2000-08-07,-0.42142199616487913
2000-08-08,0.06373582406185183
2000-08-09,-0.571934930413764
2000-08-10,0.42304963499497916
2000-08-11,0.9016518160487049
2000-08-14,-0.28786313326986857
2000-08-15,0.13102587747718314
2000-08-16,-0.08006059299986154
2000-08-17,-0.222698750062254
2000-08-18,-0.008876134060724052
2000-08-21,0.7023160843657633
2000-08-22,-0.510374393205776
2000-08-23,0.3486377323307245
2000-08-24,0.27384975870298417
2000-08-25,-0.5164389248236504
2000-08-28,-0.3041808930191695
2000-08-29,-0.15858326185493024
2000-08-30,-0.5375022285273587
2000-08-31,0.44707259744737465
2000-09-01,-0.23773096651098383
