Date,log_returns_zscore
2000-01-03,0.0
2000-01-04,-0.7071067811865475
2000-01-05,0.35075993016546314
2000-01-06,0.6447317468452052
2000-01-07,1.6038604937102412
2000-01-10,0.9199991764312395
2000-01-11,-0.02061603977585601
2000-01-12,0.33666825167571596
2000-01-13,1.5143995148994638
2000-01-14,-0.5689624374493389
2000-01-18,-1.8916172800299127
2000-01-19,-0.17111400445503927
2000-01-20,0.6416276254786906
2000-01-21,0.29910910545438435
2000-01-24,0.07128920906166163
2000-01-25,0.6148110959608459
2000-01-26,-1.3604583510778419
2000-01-27,-2.364634842551671
2000-01-28,-1.1555875419894068
2000-01-31,-1.605858786978423
2000-02-01,-0.4649353402834045
2000-02-02,-0.2647977776724409
2000-02-03,-0.261047889448733
2000-02-04,1.5721834353666757
2000-02-07,0.9246755914959899
2000-02-08,0.04174925170751738
2000-02-09,-2.338226500961779
2000-02-10,-2.4367554077177562
2000-02-11,0.5398157082999832
2000-02-14,0.5264061819379102
2000-02-15,1.0140288690627612
2000-02-16,0.8082152904522946
2000-02-17,0.4492744705180803
2000-02-18,-1.1757993896506556
2000-02-22,-0.3034780574674391
2000-02-23,1.0115743430621227
2000-02-24,1.6099274637388175
2000-02-25,-0.5996763091964636
2000-02-28,0.08503056835455422
2000-02-29,0.08398078372856431
2000-03-01,0.43069541587350035
2000-03-02,0.2485037832693882
2000-03-03,-0.37612149515099247
2000-03-06,0.7020761581093817
2000-03-07,-0.29830143202674025
2000-03-08,-0.2968757326490274
2000-03-09,0.9878657545543158
2000-03-10,-0.12801344324885772
2000-03-13,-0.3133861401671989
2000-03-14,0.34751391613850807
2000-03-15,0.0593148577308281
2000-03-16,3.0123381330095538
2000-03-17,3.186542597465482
2000-03-20,1.0511955949270253
2000-03-21,1.2725323914619513
2000-03-22,2.6614566257512515
2000-03-23,-0.5714749197512397
2000-03-24,-0.4460291470849744
2000-03-27,-0.8148098526905421
2000-03-28,-1.1866805198703303
2000-03-29,-0.3556888500593894
2000-03-30,2.0524618479360397
2000-03-31,-0.12490448875266401
2000-04-03,0.1194241030191554
2000-04-04,0.05644065071534256
2000-04-05,0.29964499453375165
2000-04-06,0.7756530542138056
2000-04-07,-0.08574706202571215
2000-04-10,-0.6341303131955546
2000-04-11,-0.5085757589074275
2000-04-12,-0.3187236871688662
2000-04-13,-0.19047799267599158
2000-04-14,-1.0802399496510615
2000-04-17,-1.2093678010158295
2000-04-18,-0.09365089636162874
2000-04-19,-0.02681436269166387
2000-04-20,0.30490818221107074
2000-04-24,0.3659016317356327
2000-04-25,-0.23604833663208558
2000-04-26,4.674561113406841
2000-04-27,-0.1448620212550502
2000-04-28,2.226974365547725
2000-05-01,0.7876982761699642
2000-05-02,-1.1293812200957818
2000-05-03,-0.9399765344763942
2000-05-04,0.33711381587565564
2000-05-05,0.5231054397050463
2000-05-08,-0.30992592671953295
2000-05-09,0.08254433606460357
2000-05-10,-0.3595018327325083
2000-05-11,-0.16021515055420196
2000-05-12,-0.15932918619965425
2000-05-15,-0.508768948973248
2000-05-16,-0.3052896788188359
2000-05-17,-0.5593106412946468
2000-05-18,-0.9722991333506004
2000-05-19,-1.0287922764791742
2000-05-22,-1.7235781226580213
2000-05-23,-0.4883462069676215
2000-05-24,-0.6544448524423154
2000-05-25,-0.7683638449098654
2000-05-26,-0.42919305073152525
2000-05-30,0.48653267331006017
2000-05-31,-0.7750607521225689
2000-06-01,0.03406454671846712
2000-06-02,0.4369226057480206
2000-06-05,0.4861634165939587
2000-06-06,0.30733554624743287
2000-06-07,-0.2661955315393677
2000-06-08,0.02198457232253863
2000-06-09,-1.1920128603925644
2000-06-12,-0.7308619441479514
2000-06-13,0.4571076819742483
2000-06-14,0.15581060505137004
2000-06-15,0.5059196579989925
2000-06-16,-0.9122814680374747
2000-06-19,0.3961951799772664
2000-06-20,-0.7980568763987401
2000-06-21,-0.1363939921347308
2000-06-22,-0.8663707054844875
2000-06-23,0.17769542099212066
2000-06-26,0.6626227308953186
2000-06-27,1.0637431684971987
2000-06-28,1.1459736647652914
2000-06-29,0.7128881704193439
2000-06-30,-1.5952665811270907
2000-07-03,0.26474530937090074
2000-07-05,0.3772656779863756
2000-07-06,0.9420667520705046
2000-07-07,1.6251141033355998
2000-07-10,-0.8271767188788801
2000-07-11,-0.32778943401275645
2000-07-12,-0.552842074203653
2000-07-13,0.18450191170817892
2000-07-14,-0.043658860226296003
2000-07-17,-0.043558385473612654
2000-07-18,-0.15741410875510337
2000-07-19,0.12889292317279796
2000-07-20,1.520874078362146
2000-07-21,-0.49925447095271136
2000-07-24,-0.33174616945605834
2000-07-25,-1.2355575277932096
2000-07-26,-0.9025991615973403
2000-07-27,0.14129576795688853
2000-07-28,0.5430325136798062
2000-07-31,1.4276089852306877
2000-08-01,0.33903315272115864
2000-08-02,1.3096908345534894
2000-08-03,0.09865360073710945
2000-08-04,1.873227557817887
2000-08-07,4.391780167957258
2000-08-08,-0.06205574020855499
2000-08-09,-1.4857847850485497
2000-08-10,-1.0501044835022726
2000-08-11,1.6624181710840051
2000-08-14,1.2038386215937906
2000-08-15,-2.434566582830987
2000-08-16,0.1322378273503099
2000-08-17,-0.3997490304845367
2000-08-18,0.13469284566469727
2000-08-21,0.4412007987660413
2000-08-22,-0.6225261733638234
2000-08-23,-1.1185378752415402
2000-08-24,0.14610304079339753
2000-08-25,-0.49037580426334637
2000-08-28,0.24034914104054428
2000-08-29,0.23699420450759676
2000-08-30,0.41334643746652316
2000-08-31,1.3690377838002445
2000-09-01,-1.1900382484253056
