Date,log_returns_zscore
2000-01-14,0.0
2000-01-31,-0.7071067811865476
2000-02-14,-0.4007937130638091
2000-02-29,0.030491896800776623
2000-03-14,-1.3795456650458562
2000-03-28,1.830853689244426
2000-04-11,-1.0468517159178201
2000-04-26,0.5881141099269368
2000-05-10,0.1822101684978339
2000-05-24,-0.10380218869673849
2000-06-08,-0.3729297657629356
2000-06-22,-0.0846657306164253
2000-07-07,-0.741781260150547
2000-07-21,0.580711636200979
2000-08-04,1.8608776682357357
2000-08-18,-1.0727589903828578
2000-09-01,-1.2260152795037949
2000-09-18,-0.8960941838124401
2000-10-02,-0.16878619256234048
2000-10-16,-2.275625463202036
2000-10-30,1.9125456033938264
2000-11-13,-1.316495304189825
2000-11-28,-0.09069205458951664
2000-12-12,1.0105121313972816
2000-12-27,1.1867142764568888
2001-01-11,-2.6661497377607453
2001-01-26,0.8550898883397491
2001-02-09,-0.13632895693286604
2001-02-26,0.3067030263551355
2001-03-12,-0.281229951634224
2001-03-26,-1.0663630692349115
2001-04-09,0.8069043213318262
2001-04-24,0.2667482852296488
2001-05-08,1.0326030277312666
2001-05-22,0.11002279927314587
2001-06-06,0.526126439242363
2001-06-20,0.1889066383613859
2001-07-05,-0.4764369222025313
2001-07-19,-0.37196197956975097
2001-08-02,-0.6127891441687288
2001-08-16,-0.029065314402195296
2001-08-30,0.2636172171114098
2001-09-20,-0.7401726695715833
2001-10-04,0.7540735226100812
2001-10-18,-0.5483314246861841
2001-11-01,0.10351886323742264
2001-11-15,-1.2771810554533634
2001-11-30,1.1638126593848475
2001-12-14,-0.04998545146055223
2001-12-31,1.187209788150258
2002-01-15,-0.14445053255827583
2002-01-30,-1.0671432225236757
2002-02-13,-0.014198192189281195
2002-02-28,-0.5186255382663075
2002-03-14,0.49786458911094666
2002-03-28,2.013688756966169
2002-04-12,1.4353567471279502
2002-04-26,-1.0725398132457575
2002-05-10,-0.7993240107527857
2002-05-24,0.9599269376069179
2002-06-10,-1.2804771960508001
2002-06-24,-1.0954097413139645
2002-07-09,-1.358722613920603
2002-07-23,-1.0563113092682708
2002-08-06,2.4571842120555845
2002-08-20,1.4160269321408911
2002-09-04,-1.4830843410371024
2002-09-18,0.03905935695582437
2002-10-02,-0.11005430688570869
2002-10-16,-0.008676778285240303
2002-10-30,-1.9019015533472206
2002-11-13,-0.3563356874081055
2002-11-27,-1.7036134372155172
2002-12-12,1.7256049059295149
2002-12-27,0.01917824329496938
2003-01-13,-0.17916749853422007
2003-01-28,-1.0439911483200637
2003-02-11,-0.2473008845242553
2003-02-26,0.5260340758628613
2003-03-12,-0.12208614314569206
2003-03-26,0.956683298251669
2003-04-09,-0.052065835667456845
2003-04-24,0.4329842959094615
2003-05-08,-0.2545766975351584
2003-05-22,0.5809109165193037
2003-06-06,0.5870615151813016
2003-06-20,0.9093418669852735
2003-07-07,0.8291040982089657
2003-07-21,0.2103293016591373
2003-08-04,-0.18340797594032296
2003-08-18,0.21367891508657832
2003-09-02,0.12383054743987831
2003-09-16,-0.1817203962148541
2003-09-30,-0.1396526291814147
2003-10-14,1.1496156161430398
2003-10-28,-1.8232352986367837
2003-11-11,-0.5254118912177013
2003-11-25,-0.15261231987160503
2003-12-10,-0.4271123556113378
2003-12-24,-1.1237824674807337
2004-01-09,-0.4923389889162765
2004-01-26,-0.0985357526215598
2004-02-09,-1.3212299140588866
2004-02-24,-0.4205602389788075
2004-03-09,0.6173801358926458
2004-03-23,-1.052772583938268
2004-04-06,2.3741751453063626
2004-04-21,-0.16044567722950523
2004-05-05,1.311011590201973
2004-05-19,-0.5751206413289279
2004-06-03,0.7304278464222378
2004-06-18,0.20145113734833023
2004-07-02,0.6959961972226087
2004-07-19,-0.9339150368434359
2004-08-02,-0.9017568348462953
2004-08-16,-1.4029485769516683
2004-08-30,1.397104856776349
2004-09-14,1.0956040803862002
2004-09-28,-0.8531335572647992
2004-10-12,0.5411560795751932
2004-10-26,0.08604584373355645
2004-11-09,0.05934678000086712
2004-11-23,-1.6681682334260548
2004-12-08,1.1975322661233534
2004-12-22,0.643844780171661
2005-01-06,-0.9491984942323204
