Date,log_returns_zscore
2000-01-03,0.0
2000-01-04,-0.7071067811865475
2000-01-05,-0.02283651544870905
2000-01-06,-0.8759803938874764
2000-01-07,1.570787867432102
2000-01-10,-0.15089551564417733
2000-01-11,1.0183998388508047
2000-01-12,-0.0808026608102527
2000-01-13,0.8230609379373354
2000-01-14,0.23833924365764356
2000-01-18,-0.42365963703563514
2000-01-19,0.9972111421236629
2000-01-20,-0.9129946043187915
2000-01-21,-1.1519815442160157
2000-01-24,-0.39882375317076413
2000-01-25,1.0418617281878104
2000-01-26,1.5155894046174536
2000-01-27,-0.2647463982460955
2000-01-28,-1.6312728909608847
2000-01-31,1.2885479125218158
2000-02-01,0.8006352788022052
2000-02-02,0.3365698555089331
2000-02-03,-0.7794307778014107
2000-02-04,-0.5500115366046233
2000-02-07,0.6382054619807229
2000-02-08,1.4462673653804616
2000-02-09,-0.6133600604261578
2000-02-10,-0.2665894039473604
2000-02-11,-0.08684974701550079
2000-02-14,-0.3004149997367935
2000-02-15,-0.5519308619619617
2000-02-16,-0.9235213798926784
2000-02-17,-0.8855936337968364
2000-02-18,-0.3036409332552126
2000-02-22,-0.5227140797507552
2000-02-23,-0.34306553523960254
2000-02-24,-0.3473237385335747
2000-02-25,0.23875444627660536
2000-02-28,1.975590648996156
2000-02-29,0.24656213355362322
2000-03-01,0.31568116600041135
2000-03-02,0.7421682686564732
2000-03-03,0.9963304173339871
2000-03-06,-0.4459979438466029
2000-03-07,-1.4634135787187232
2000-03-08,0.2792121476156826
2000-03-09,1.2571524406295005
2000-03-10,0.5667440723804492
2000-03-13,0.48279879387966534
2000-03-14,-0.17582805635249776
2000-03-15,1.8158659054242343
2000-03-16,3.3332039468429024
2000-03-17,-0.7110569852529001
2000-03-20,-1.3959018386009914
2000-03-21,0.3084089319954193
2000-03-22,-0.07613874370807094
2000-03-23,0.6569732564072618
2000-03-24,0.5518736006899658
2000-03-27,-0.2975680488225904
2000-03-28,0.23284966807028595
2000-03-29,1.704674658540614
2000-03-30,1.8857484362709578
2000-03-31,-1.0304122101717628
2000-04-03,0.9025133181430233
2000-04-04,-0.7242108741690247
2000-04-05,-0.4943204996878247
2000-04-06,-0.09469545467264542
2000-04-07,0.0940968543994098
2000-04-10,0.38763250974067764
2000-04-11,-1.0222732610174314
2000-04-12,-0.2561424817991205
2000-04-13,-0.7671392640328668
2000-04-14,-1.0690065139456826
2000-04-17,-1.4202036300912977
2000-04-18,1.9426215213287243
2000-04-19,-0.38690647179160553
2000-04-20,0.367798776165163
2000-04-24,0.47543208350905636
2000-04-25,0.5776597771954822
2000-04-26,-0.3103209333542483
2000-04-27,-1.3002938697444313
2000-04-28,-0.6687946984075622
2000-05-01,0.8423830678842252
2000-05-02,0.31791799487841893
2000-05-03,-2.428107212614818
2000-05-04,1.1983126476669137
2000-05-05,0.9494724177254857
2000-05-08,0.10020033733645986
2000-05-09,0.5687943795105055
2000-05-10,0.4421400610039284
2000-05-11,-0.2215966455397688
2000-05-12,0.1980054695497364
2000-05-15,0.3392286854391544
2000-05-16,0.20554547274841858
2000-05-17,-0.7936581412936685
2000-05-18,0.6104021145960964
2000-05-19,-0.33201112911046965
2000-05-22,-0.021585945354936912
2000-05-23,-1.4960038621496432
2000-05-24,-1.2282876546003634
2000-05-25,0.2592384531648185
2000-05-26,-0.2235848305152699
2000-05-30,-1.341187810159924
2000-05-31,0.5154581252806121
2000-06-01,0.20975186868726894
2000-06-02,1.5828095275682135
2000-06-05,-0.8328977276900661
2000-06-06,-3.450686603985624
2000-06-07,1.2007942037800214
2000-06-08,0.08654744850414271
2000-06-09,-1.828317875527319
2000-06-12,-0.9166101785809707
2000-06-13,1.2660463507707793
2000-06-14,0.8128019348598977
2000-06-15,1.1451179387267267
2000-06-16,-0.7726989488502405
2000-06-19,-0.6534500460982555
2000-06-20,-1.15568316474547
2000-06-21,-1.4115132332362597
2000-06-22,0.7790498919077422
2000-06-23,0.32988577013077425
2000-06-26,0.858772635112757
2000-06-27,0.27830604583885205
2000-06-28,-0.5852535315173143
2000-06-29,0.5440755158202312
2000-06-30,1.4494682395790224
2000-07-03,-0.048544260780941796
2000-07-05,-0.014362758741615356
2000-07-06,-0.6411370383751199
2000-07-07,1.3968091344235436
2000-07-10,1.2643261691158616
2000-07-11,0.9603582221153725
2000-07-12,-0.06290045714651801
2000-07-13,-0.3178903447296681
2000-07-14,0.03464474799890015
2000-07-17,-0.5995693705684948
2000-07-18,-0.8107325265905423
2000-07-19,-0.09082654927423872
2000-07-20,1.083116968096263
2000-07-21,-0.5618874774418622
2000-07-24,-0.6392631655960324
2000-07-25,0.9300045561981533
2000-07-26,1.2225295327517158
2000-07-27,-0.03325668108094737
2000-07-28,-0.7572692121749568
2000-07-31,-1.5242133018200192
2000-08-01,0.04748902769213434
2000-08-02,1.6697668736908469
2000-08-03,-0.4305720058903416
2000-08-04,-0.3675659969022229
2000-08-07,1.5639475724032155
2000-08-08,0.7984865674855399
2000-08-09,-0.8729618914345881
2000-08-10,-1.2944104331243824
2000-08-11,-0.0964675193099015
2000-08-14,0.3802721655931373
2000-08-15,-3.206997871240685
2000-08-16,-0.6156434308688841
2000-08-17,-0.3148986692962383
2000-08-18,0.5899791600965116
2000-08-21,-0.24077736226660984
2000-08-22,1.530751983727006
2000-08-23,-0.6023641542625282
2000-08-24,0.3488758873842012
2000-08-25,0.053703612022741196
2000-08-28,-0.5387839348004686
2000-08-29,-0.2442855428313662
2000-08-30,-0.39981063799454003
2000-08-31,-3.557256537585308
