,0
4530,1.0065736432323853
4531,1.0118254833062925
4532,1.0122735156038742
4533,1.0156777985053522
4534,1.0144752915542132
4535,1.0197199834959938
4536,1.0261731263847587
4537,1.0287150145909587
4538,1.0337959939079908
4539,1.0356614920912435
4540,1.0393872328517355
4541,1.0461768107025389
4542,1.047662898611879
4543,1.0512842447640232
4544,1.0499863229537862
4545,1.0580805445979304
4546,1.0528759274417105
4547,1.0420753971587435
4548,1.0504269562091548
4549,1.0575572469467316
4550,1.053135187443641
4551,1.037023584256762
4552,1.0452110367181087
4553,1.038047457596186
4554,1.0113544491911803
4555,1.0123819628713953
4556,1.0182081888957295
4557,1.0296446466144846
4558,1.0207090158275718
4559,1.0332475508846566
4560,1.049789129037666
4561,1.0345363449018197
4562,1.0266960804342553
4563,1.031231052970743
4564,1.0532183429592021
4565,1.046093269878205
4566,1.0130304844608236
4567,1.0000399194105385
4568,1.0105437973360814
4569,1.017828654864425
4570,1.0176784754471575
4571,1.0011886853031535
4572,0.9897964075782597
4573,0.9929138409106122
4574,1.004847956956132
4575,1.0021482727114737
4576,0.9941944756443812
4577,0.9877637179643685
4578,0.9854864821440763
4579,0.9848961518176667
4580,0.9815173428149384
4581,0.9797883735841215
4582,0.9788441416318463
4583,0.9715701855885926
4584,0.9652174502670573
4585,0.9712144560062907
4586,0.9756390160029026
4587,0.9796244974860716
4588,0.9884118858995299
4589,0.9732445193013102
4590,0.9863810433136263
4591,0.9986953020330114
4592,1.005220114181709
4593,0.9954410292856866
4594,0.9859982290506729
4595,0.9936985473718013
4596,0.998953037839226
4597,0.9941259949516754
4598,1.0059687125502452
4599,1.0083061402219753
4600,1.0125645842519289
4601,1.0123545864989183
4602,1.0090662708288467
4603,1.002018622469776
4604,1.0101229691713762
4605,0.9984115510786773
4606,0.9921334411924231
4607,0.9944166733165258
4608,0.991178523373227
4609,0.9909997095075996
4610,0.983023519411196
4611,0.9776897978155443
4612,0.9711886701595422
4613,0.9850917619798648
4614,0.98823945206604
4615,0.9903251414582086
4616,0.9947390755295756
4617,1.0075666314186116
